carID,speed,date_time,vehicle_plate
8,66,2021-12-26 14:52:39,unable to detect
9,66,2021-12-26 14:52:41,unable to detect
10,66,2021-12-26 14:52:43,unable to detect
37,98,2021-12-26 14:52:55,unable to detect
70,63,2021-12-26 14:53:16,unable to detect
69,63,2021-12-26 14:53:16,unable to detect
68,63,2021-12-26 14:53:17,unable to detect
74,63,2021-12-26 14:53:18,unable to detect
153,66,2021-12-26 14:53:55,unable to detect
157,66,2021-12-26 14:53:58,unable to detect
178,69,2021-12-26 14:54:10,unable to detect
177,69,2021-12-26 14:54:11,unable to detect
182,69,2021-12-26 14:54:12,unable to detect
199,63,2021-12-26 14:54:29,unable to detect
200,63,2021-12-26 14:54:30,unable to detect
248,83,2021-12-26 14:54:56,unable to detect
286,65,2021-12-26 14:55:18,unable to detect
289,65,2021-12-26 14:55:19,unable to detect
